,song_id,song,sp_name,artists,artists_list,number_artists,sp_artists_name,feat,feat_artist
0,1,Roxanne,ROXANNE,Arizona Zervas,['Arizona Zervas'],1,Arizona Zervas,No,no-feat
1,2,Say So,Say So,Doja Cat,['Doja Cat'],1,Doja Cat,No,no-feat
2,3,My Oh My,My Oh My (feat. DaBaby),Camila Cabello feat. DaBaby,"['Camila Cabello', 'DaBaby']",2,Camila Cabello,Yes,no-feat
3,3,My Oh My,My Oh My (feat. DaBaby),Camila Cabello feat. DaBaby,"['Camila Cabello', 'DaBaby']",2,DaBaby,Yes,no-feat
4,4,Moon,Moon (And It Went Like),Kid Francescoli,['Kid Francescoli'],1,Kid Francescoli,No,no-feat
5,5,Vibe,Vibe (If I Back It Up),Cookiee Kawaii,['Cookiee Kawaii'],1,Cookiee Kawaii,No,no-feat
6,6,The Box,The Box,Roddy Ricch,['Roddy Ricch'],1,Roddy Ricch,No,no-feat
7,7,Run Free,Run Free,Deep Chills feat. Ivie,"['Deep Chills', 'Ivie']",2,Deep Chills,Yes,no-feat
8,7,Run Free,Run Free,Deep Chills feat. Ivie,"['Deep Chills', 'Ivie']",2,IVIE,Yes,no-feat
9,8,She Gon Go,She Gon Go,Trill Ryan,['Trill Ryan'],1,Trill Ryan,No,no-feat
10,9,Back Up,Back Up (feat. Big Sean),DeJ Loaf feat. Big Sean,"['DeJ Loaf', 'Big Sean']",2,DeJ Loaf,Yes,no-feat
11,9,Back Up,Back Up (feat. Big Sean),DeJ Loaf feat. Big Sean,"['DeJ Loaf', 'Big Sean']",2,Big Sean,Yes,no-feat
12,10,Take It Off,Take It Off,Kesha,['Kesha'],1,Kesha,No,no-feat
13,11,Falling,Falling,Trevor Daniel,['Trevor Daniel'],1,Trevor Daniel,No,no-feat
14,12,Working Bitch,Working Bitch,Ashnikko,['Ashnikko'],1,Ashnikko,No,no-feat
15,13,Cradles,Cradles,Sub Urban,['Sub Urban'],1,Sub Urban,No,no-feat
16,14,Dura,Dura,Daddy Yankee,['Daddy Yankee'],1,Daddy Yankee,No,no-feat
17,15,FML,FML,Arizona Zervas,['Arizona Zervas'],1,Arizona Zervas,No,no-feat
18,16,El Beeper,El Beeper (Ta Encendio) [Live],Oro Solido,['Oro Solido'],1,Oro Solido,No,no-feat
19,17,Supalonely,Supalonely (Lownely),Benee,['Benee'],1,BENEE,No,no-feat
20,18,Devil Eyes,Devil Eyes,Hippie Sabotage,['Hippie Sabotage'],1,Hippie Sabotage,No,no-feat
21,19,Attention,Attention,Todrick Hall,['Todrick Hall'],1,Todrick Hall,No,no-feat
22,20,"Hey Look Ma, I Made It","Hey Look Ma, I Made It",Panic! At the Disco,['Panic! At the Disco'],1,Panic! At The Disco,No,no-feat
23,21,WOAH,Woah (feat. D3Mstreet),KRYPTO9095 feat. D3MSTREET,"['KRYPTO9095', 'D3MSTREET']",2,KRYPTO9095,Yes,no-feat
24,21,WOAH,Woah (feat. D3Mstreet),KRYPTO9095 feat. D3MSTREET,"['KRYPTO9095', 'D3MSTREET']",2,D3Mstreet,Yes,no-feat
25,22,Crystal Dolphin,Crystal Dolphin,Engelwood,['Engelwood'],1,Engelwood,No,no-feat
26,23,Lalala,Lalala,Y2K and bbno$,"['Y2K', 'bbno$']",2,Y2K,No,no-feat
27,23,Lalala,Lalala,Y2K and bbno$,"['Y2K', 'bbno$']",2,bbno$,No,no-feat
28,24,Seve,Seve - Radio Edit,Tez Cadey,['Tez Cadey'],1,Tez Cadey,No,no-feat
29,25,Memories,Memories (Drinks Bring Back),Ajay Stephens,['Ajay Stephens'],1,Ajay Stephens,No,no-feat
30,26,Lose Control,Lose Control,"Meduza, Becky Hill, and Goodboys","['Meduza', 'Becky Hill', 'Goodboys']",3,MEDUZA,No,no-feat
31,26,Lose Control,Lose Control,"Meduza, Becky Hill, and Goodboys","['Meduza', 'Becky Hill', 'Goodboys']",3,Becky Hill,No,no-feat
32,26,Lose Control,Lose Control,"Meduza, Becky Hill, and Goodboys","['Meduza', 'Becky Hill', 'Goodboys']",3,Goodboys,No,no-feat
33,27,Don't Start Now,Don't Start Now,Dua Lipa,['Dua Lipa'],1,Dua Lipa,No,no-feat
34,28,Welcome to Wonderland,Welcome to Wonderland,Anson Seabra,['Anson Seabra'],1,Anson Seabra,No,no-feat
35,29,Tra Tra,Tra Tra,Nfasis,['Nfasis'],1,Nfasis,No,no-feat
