,index,song_id,song,sp_name,genre
0,0,1,Roxanne,ROXANNE,hip-hop/rap
1,0,1,Roxanne,ROXANNE,pop
2,0,1,Roxanne,ROXANNE,pop
3,1,2,Say So,Say So,dance
4,1,2,Say So,Say So,r&b/soul
5,2,3,My Oh My,My Oh My (feat. DaBaby),pop
6,3,4,Moon,Moon (And It Went Like),pop
7,4,5,Vibe,Vibe (If I Back It Up),dance
8,4,5,Vibe,Vibe (If I Back It Up),r&b/soul
9,5,6,The Box,The Box,hip-hop/rap
10,6,7,Run Free,Run Free,house
11,6,7,Run Free,Run Free,dance
12,7,8,She Gon Go,She Gon Go,hip-hop/rap
13,8,9,Back Up,Back Up (feat. Big Sean),hip-hop/rap
14,9,10,Take It Off,Take It Off,pop
15,9,10,Take It Off,Take It Off,pop
16,9,10,Take It Off,Take It Off,hip-hop/rap
17,9,10,Take It Off,Take It Off,rap
18,9,10,Take It Off,Take It Off,rock
19,9,10,Take It Off,Take It Off,electronic
20,9,10,Take It Off,Take It Off,dance
21,9,10,Take It Off,Take It Off,r&b/soul
22,10,11,Falling,Falling,hip-hop/rap
23,10,11,Falling,Falling,pop
24,11,12,Working Bitch,Working Bitch,hip-hop/rap
25,12,13,Cradles,Cradles,alternative
26,12,13,Cradles,Cradles,dance
27,12,13,Cradles,Cradles,electronic
28,13,14,Dura,Dura,latin
29,13,14,Dura,Dura,latin
30,14,15,FML,FML,hip-hop/rap
31,15,16,El Beeper,El Beeper (Ta Encendio) [Live],latin
32,16,17,Supalonely,Supalonely (Lownely),pop
33,17,18,Devil Eyes,Devil Eyes,electronic
34,17,18,Devil Eyes,Devil Eyes,electronic
35,17,18,Devil Eyes,Devil Eyes,rock
36,18,19,Attention,Attention,dance
37,18,19,Attention,Attention,pop
38,18,19,Attention,Attention,pop
39,19,20,"Hey Look Ma, I Made It","Hey Look Ma, I Made It",pop
40,20,21,WOAH,Woah (feat. D3Mstreet),hip-hop/rap
41,21,22,Crystal Dolphin,Crystal Dolphin,dance
